Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr
107,9506.19204,,,5.29273e-08,,,,52927.299999999996,,27.85,75.0062
108,9506.19304,,,5.3467e-08,,,,53467.0,,27.85,75.0062
109,9506.19405,,,5.38539e-08,,,,53853.9,,27.85,75.0062
110,9506.19505,,,5.41605e-08,,,,54160.5,,27.85,75.0062
111,9506.19605,,,5.44593e-08,,,,54459.3,,27.85,75.0062
112,9506.19705,,,5.4816e-08,,,,54816.0,,27.85,75.0062
113,9506.19805,,,5.52358e-08,,,,55235.8,,27.85,75.0062
114,9506.19905,,,5.56956e-08,,,,55695.600000000006,,27.85,75.0062
115,9506.20005,,,5.61817e-08,,,,56181.7,,27.85,75.0062
116,9506.20105,,,5.66816e-08,,,,56681.600000000006,,27.85,75.0062
117,9506.20205,,,5.71828e-08,,,,57182.799999999996,,27.85,75.0062
118,9506.20305,,,5.76734e-08,,,,57673.4,,27.85,75.0062
119,9506.20405,,,5.81748e-08,,,,58174.799999999996,,27.85,75.0062
120,9506.20505,,,5.87529e-08,,,,58752.9,,27.85,75.0062
121,9506.20605,,,5.94766e-08,,,,59476.6,,27.85,75.0062
122,9506.20705,,,6.04152e-08,,,,60415.2,,27.85,75.0062
123,9506.20805,,,6.16382e-08,,,,61638.2,,27.85,75.0062
124,9506.20905,,,6.32155e-08,,,,63215.5,,27.85,75.0062
125,9506.21005,,,6.52172e-08,,,,65217.200000000004,,27.85,75.0062
126,9506.21106,,,6.77142e-08,,,,67714.2,,27.85,75.0062
127,9506.21206,,,7.07583e-08,,,,70758.29999999999,,27.85,75.0062
128,9506.21306,,,7.43101e-08,,,,74310.1,,27.85,75.0062
129,9506.21406,,,7.83028e-08,,,,78302.8,,27.85,75.0062
130,9506.21506,,,8.26692e-08,,,,82669.2,,27.85,75.0062
131,9506.21606,,,8.73414e-08,,,,87341.4,,27.85,75.0062
132,9506.21706,,,9.22509e-08,,,,92250.90000000001,,27.85,75.0062
133,9506.21806,,,9.73284e-08,,,,97328.40000000001,,27.85,75.0062
134,9506.21906,,,1.02504e-07,,,,102504.0,,27.85,75.0062
135,9506.22006,,,1.07706e-07,,,,107706.0,,27.85,75.0062
136,9506.22106,,,1.12875e-07,,,,112875.0,,27.85,75.0062
137,9506.22206,,,1.17987e-07,,,,117987.0,,27.85,75.0062
138,9506.22306,,,1.23023e-07,,,,123023.0,,27.85,75.0062
139,9506.22406,,,1.27967e-07,,,,127967.0,,27.85,75.0062
140,9506.22506,,,1.32801e-07,,,,132801.0,,27.85,75.0062
141,9506.22606,,,1.37509e-07,,,,137509.0,,27.85,75.0062
142,9506.22706,,,1.42073e-07,,,,142073.0,,27.85,75.0062
143,9506.22807,,,1.46479e-07,,,,146479.0,,27.85,75.0062
144,9506.22907,,,1.50708e-07,,,,150708.0,,27.85,75.0062
145,9506.23007,,,1.54761e-07,,,,154761.0,,27.85,75.0062
146,9506.23107,,,1.58715e-07,,,,158715.0,,27.85,75.0062
147,9506.23207,,,1.62675e-07,,,,162675.0,,27.85,75.0062
