Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr,,aaaa
104,9506.16311,,,5.55E-07,,,,8313.67,0.831367,27.85,300.0248,,0.555021
105,9506.16411,,,5.63E-07,,,,9677.25,0.967725,27.85,300.0248,,0.562698
106,9506.16511,,,5.70E-07,,,,12322.9,1.23229,27.85,300.0248,,0.570315
107,9506.16612,,,5.78E-07,,,,15542.5,1.55425,27.85,300.0248,,0.577856
108,9506.16712,,,5.85E-07,,,,18599.7,1.85997,27.85,300.0248,,0.585313
109,9506.16812,,,5.93E-07,,,,20762.4,2.07624,27.85,300.0248,,0.5927
110,9506.16912,,,6.00E-07,,,,21317.5,2.13175,27.85,300.0248,,0.600033
111,9506.17012,,,6.07E-07,,,,19853.1,1.98531,27.85,300.0248,,0.607332
112,9506.17112,,,6.15E-07,,,,17067.7,1.70677,27.85,300.0248,,0.614611
113,9506.17212,,,6.22E-07,,,,13916.5,1.39165,27.85,300.0248,,0.62189
114,9506.17312,,,6.29E-07,,,,11350.3,1.13503,27.85,300.0248,,0.629185
115,9506.17413,,,6.37E-07,,,,10316.2,1.03162,27.85,300.0248,,0.636514
116,9506.17513,,,6.44E-07,,,,11691.7,1.16917,27.85,300.0248,,0.643899
117,9506.17613,,,6.51E-07,,,,15338.4,1.53384,27.85,300.0248,,0.651388
118,9506.17713,,,6.59E-07,,,,20350.5,2.03505,27.85,300.0248,,0.659042
119,9506.17813,,,6.67E-07,,,,25796.9,2.57969,27.85,300.0248,,0.666911
120,9506.17913,,,6.75E-07,,,,30726,3.0726,27.85,300.0248,,0.675039
121,9506.18013,,,6.83E-07,,,,34169.9,3.41699,27.85,300.0248,,0.683472
122,9506.18113,,,6.92E-07,,,,35182.9,3.51829,27.85,300.0248,,0.692255
123,9506.18214,,,7.01E-07,,,,33601.8,3.36018,27.85,300.0248,,0.701435
124,9506.18314,,,7.11E-07,,,,30146.6,3.01466,27.85,300.0248,,0.71106
125,9506.18414,,,7.21E-07,,,,25585.9,2.55859,27.85,300.0248,,0.721177
