trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,elower,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air_296,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self,n_y_self
11184623,1,3,9102.224561,4.28E-28,0.002449,446.2676,270,234,446.2676,         -2-2-2,          0 0 0,  7 -2 -1      ,  6  1  6      ,0.0719,0.63,0,0,0.148920831,0.63,0,0,0,1,0,0,0.371,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0,0
12384211,1,1,9102.225058,2.58E-27,7.98E-05,742.073,13,11,742.073,          2 1 0,          0 0 0,  6  6  0      ,  5  5  1      ,0.0452,0.46,-0.0256,0,0.221989691,0.46,0,0,0,1,0,0,0.391,0.46,-0.0256,0,0.18,0.46,0,0,0,1,0,0,0
11184625,1,2,9102.273484,3.54E-28,0.0007261,325.2157,13,11,325.2157,          0 3 1,          0 0 0,  6  5  2      ,  5  1  5      ,0.0868,0.71,0.00467,0,0.114338846,0.71,0,0,0,1,0,0,0.4,0.71,0.00467,0,0.096666667,0.71,0,0,0,1,0,0,0
11184626,1,2,9102.30259,4.11E-27,0.007816,274.8032,11,9,274.8032,          0 1 2,          0 0 0,  5  2  4      ,  4  1  3      ,0.0943,0.72,-0.00117,0,0.110396128,0.72,0,0,0,1,0,0,0.412,0.72,-0.00117,0,0.093333333,0.72,0,0,0,1,0,0,0
12384212,1,1,9102.366537,9.40E-28,7.50E-06,744.1627,51,51,744.1627,          1 1 1,          0 0 0,  8  3  5      ,  8  1  8      ,0.0853,0.71,-0.017717,0,0.119216686,0.71,0,0,0,1,0,0,0.333,0.71,-0.017717,0,0.096666667,0.71,0,0,0,1,0,0,0
11184627,1,4,9102.366641,1.39E-28,0.007506,711.7953,102,102,711.7953,          2 0 1,          0 0 0,  8  4  4      ,  8  3  5      ,0.0591,0.79,-0.01482,0,0.084519182,0.79,0,0,0,1,0,0,0.391,0.79,-0.01482,0,0.07,0.79,0,0,0,1,0,0,0
12384214,1,1,9102.493041,9.54E-26,0.005573,927.7439,17,15,927.7439,          2 1 0,          0 0 0,  8  5  3      ,  7  4  4      ,0.0673,0.6,-0.01714,0,0.164436808,0.6,0,0,0,1,0,0,0.224,0.6,-0.01714,0,0.133333333,0.6,0,0,0,1,0,0,0
12384215,1,1,9102.497754,2.70E-28,0.002629,2180.6428,45,45,2180.6428,          2 0 1,          0 1 0,  7  2  6      ,  7  0  7      ,0.07,0.58,-0.01091,0,0.172658649,0.58,0,0,0,1,0,0,0.352,0.58,-0.01091,0,0.14,0.58,0,0,0,1,0,0,0
11184632,1,4,9102.502101,5.96E-28,0.002989,91.3303,54,42,91.3303,          2 0 1,          0 0 0,  4  1  4      ,  3  0  3      ,0.0954,0.79,-0.00949,0,0.084519182,0.79,0,0,0,1,0,0,0.53,0.79,-0.00949,0,0.07,0.79,0,0,0,1,0,0,0
11184633,1,3,9102.504067,1.21E-28,0.002072,445.7419,90,78,445.7419,         -2-2-2,          0 0 0,  7 -1 -1      ,  6  0  6      ,0.0719,0.63,0,0,0.148920831,0.63,0,0,0,1,0,0,0.371,0.63,0,0,0.123333333,0.63,0,0,0,1,0,0,0
11184634,1,4,9102.585557,6.09E-29,0.0003326,150.1563,66,54,150.1563,          2 0 1,          0 0 0,  5  0  5      ,  4  0  4      ,0.0973,0.79,-0.01088,0,0.084519182,0.79,0,0,0,1,0,0,0.428,0.79,-0.01088,0,0.07,0.79,0,0,0,1,0,0,0
11184636,1,4,9102.73911,4.35E-29,0.00759,995.7933,126,126,995.7933,          2 0 1,          0 0 0, 10  4  7      , 10  3  8      ,0.055,0.79,-0.01571,0,0.084519182,0.79,0,0,0,1,0,0,0.34,0.79,-0.01571,0,0.07,0.79,0,0,0,1,0,0,0
