Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr,,aaaa
94,9353.0028,,,1.13E-08,,,,11321.6,1.13216,34,11.0326,,0.00466
95,9353.00914,,,1.37E-08,,,,13718,1.3718,34,11.0326,,0.005281
96,9353.01529,,,1.51E-08,,,,15124.2,1.51242,34,11.0326,,0.006087
97,9353.02149,,,1.55E-08,,,,15523.1,1.55231,34,11.0326,,0.007398
98,9353.0278,,,1.51E-08,,,,15117.1,1.51171,34,11.0326,,0.009459
99,9353.03442,,,1.41E-08,,,,14102.5,1.41025,34,11.0326,,0.013029
100,9353.04052,,,1.27E-08,,,,12665.1,1.26651,34,11.0326,,0.019456
101,9353.04645,,,1.10E-08,,,,10995.4,1.09954,34,11.0326,,0.035432
102,9353.05284,,,9.41E-09,,,,9413.78,0.941378,34,11.0326,,0.066867
103,9353.0592,,,8.37E-09,,,,8368.91,0.836891,34,11.0326,,0.129419
104,9353.06524,,,8.31E-09,,,,8313.67,0.831367,34,11.0326,,0.215907
105,9353.07217,,,9.68E-09,,,,9677.25,0.967725,34,11.0326,,0.304423
106,9353.07815,,,1.23E-08,,,,12322.9,1.23229,34,11.0326,,0.342311
107,9353.08447,,,1.55E-08,,,,15542.5,1.55425,34,11.0326,,0.30032
108,9353.09075,,,1.86E-08,,,,18599.7,1.85997,34,11.0326,,0.212698
109,9353.1014,,,2.08E-08,,,,20762.4,2.07624,34,11.0326,,0.080262
110,9353.10578,,,2.13E-08,,,,21317.5,2.13175,34,11.0326,,0.049662
111,9353.11182,,,1.99E-08,,,,19853.1,1.98531,34,11.0326,,0.029932
112,9353.11844,,,1.71E-08,,,,17067.7,1.70677,34,11.0326,,0.019517
113,9353.12346,,,1.39E-08,,,,13916.5,1.39165,34,11.0326,,0.016266
114,9353.12946,,,1.14E-08,,,,11350.3,1.13503,34,11.0326,,0.014344
115,9353.1354,,,1.03E-08,,,,10316.2,1.03162,34,11.0326,,0.0126
116,9353.14126,,,1.17E-08,,,,11691.7,1.16917,34,11.0326,,0.010527
117,9353.14759,,,1.53E-08,,,,15338.4,1.53384,34,11.0326,,0.008456
118,9353.1538,,,2.04E-08,,,,20350.5,2.03505,34,11.0326,,0.006625
119,9353.1606,,,2.58E-08,,,,25796.9,2.57969,34,11.0326,,0.005354
120,9353.16682,,,3.07E-08,,,,30726,3.0726,34,11.0326,,0.00465
121,9353.17284,,,3.42E-08,,,,34169.9,3.41699,34,11.0326,,0.004067
122,9353.17945,,,3.52E-08,,,,35182.9,3.51829,34,11.0326,,0.003758
123,9353.18549,,,3.36E-08,,,,33601.8,3.36018,34,11.0326,,0.003744
124,9353.19186,,,3.01E-08,,,,30146.6,3.01466,34,11.0326,,0.003731
125,9353.19821,,,2.56E-08,,,,25585.9,2.55859,34,11.0326,,0.004323
126,9353.20459,,,2.07E-08,,,,20684.7,2.06847,34,11.0326,,0.004838
127,9353.21093,,,1.62E-08,,,,16201.7,1.62017,34,11.0326,,0.005248
128,9353.21682,,,1.29E-08,,,,12887.7,1.28877,34,11.0326,,0.006328
129,9353.22296,,,1.12E-08,,,,11170.8,1.11708,34,11.0326,,0.007187
130,9353.22955,,,1.08E-08,,,,10810.9,1.08109,34,11.0326,,0.007542
131,9353.23554,,,1.15E-08,,,,11485.9,1.14859,34,11.0326,,0.007272
132,9353.24221,,,1.29E-08,,,,12875.1,1.28751,34,11.0326,,0.005869
133,9353.24846,,,1.47E-08,,,,14657.7,1.46577,34,11.0326,,0.00441
134,9353.2546,,,1.65E-08,,,,16512.1,1.65121,34,11.0326,,0.003534
135,9353.26128,,,1.81E-08,,,,18123.6,1.81236,34,11.0326,,0.002822
136,9353.26695,,,1.93E-08,,,,19319.6,1.93196,34,11.0326,,0.002696
137,9353.27351,,,2.00E-08,,,,20046.5,2.00465,34,11.0326,,0.002478
138,9353.27969,,,2.03E-08,,,,20254.7,2.02547,34,11.0326,,0.002196
139,9353.28626,,,1.99E-08,,,,19895,1.9895,34,11.0326,,0.002384
140,9353.29242,,,1.89E-08,,,,18918.4,1.89184,34,11.0326,,0.002172
141,9353.2989,,,1.73E-08,,,,17280.1,1.72801,34,11.0326,,0.002133
142,9353.30478,,,1.50E-08,,,,14964.9,1.49649,34,11.0326,,0.002149
143,9353.31063,,,1.22E-08,,,,12174.3,1.21743,34,11.0326,,0.002063
144,9353.31778,,,9.24E-09,,,,9244.89,0.924489,34,11.0326,,0.002121
145,9353.32433,,,6.51E-09,,,,6514.35,0.651435,34,11.0326,,0.002136
146,9353.33013,,,4.32E-09,,,,4319.06,0.431906,34,11.0326,,0.00192
147,9353.33663,,,2.99E-09,,,,2994.9,0.29949,34,11.0326,,0.002099
148,9353.34314,,,2.88E-09,,,,2878.38,0.287838,34,11.0326,,0.002118
149,9353.34933,,,4.20E-09,,,,4200.83,0.420083,34,11.0326,,0.001999
150,9353.35567,,,6.60E-09,,,,6601.27,0.660127,34,11.0326,,0.00195
151,9353.36225,,,9.51E-09,,,,9513.07,0.951307,34,11.0326,,0.001761
152,9353.36795,,,1.24E-08,,,,12365.9,1.23659,34,11.0326,,0.001885
153,9353.37397,,,1.46E-08,,,,14585.5,1.45855,34,11.0326,,0.001704
154,9353.38109,,,1.56E-08,,,,15594.6,1.55946,34,11.0326,,0.00166
155,9353.38723,,,1.50E-08,,,,14951.4,1.49514,34,11.0326,,0.001762
156,9353.39393,,,1.30E-08,,,,13047.9,1.30479,34,11.0326,,0.001806
157,9353.3999,,,1.06E-08,,,,10592.9,1.05929,34,11.0326,,0.00192
158,9353.40658,,,8.29E-09,,,,8293.97,0.829397,34,11.0326,,0.001744
159,9353.41286,,,6.86E-09,,,,6855.95,0.685595,34,11.0326,,0.002054
160,9353.41909,,,6.98E-09,,,,6982.29,0.698229,34,11.0326,,0.001805
161,9353.4255,,,9.30E-09,,,,9300.82,0.930082,34,11.0326,,0.001563
162,9353.43199,,,1.35E-08,,,,13534.5,1.35345,34,11.0326,,0.001642
163,9353.43827,,,1.88E-08,,,,18806.4,1.88064,34,11.0326,,0.001852
164,9353.44459,,,2.42E-08,,,,24199.2,2.41992,34,11.0326,,0.00171
165,9353.45119,,,2.88E-08,,,,28784.1,2.87841,34,11.0326,,0.001652
166,9353.45707,,,3.16E-08,,,,31626.4,3.16264,34,11.0326,,0.001503
167,9353.46388,,,3.21E-08,,,,32089,3.2089,34,11.0326,,0.00187
168,9353.4703,,,3.08E-08,,,,30763.7,3.07637,34,11.0326,,0.001688
169,9353.47657,,,2.86E-08,,,,28558.7,2.85587,34,11.0326,,0.001653
170,9353.48281,,,2.64E-08,,,,26379,2.6379,34,11.0326,,0.001359
171,9353.48883,,,2.51E-08,,,,25124.1,2.51241,34,11.0326,,0.001725
172,9353.49507,,,2.57E-08,,,,25684.8,2.56848,34,11.0326,,0.001654
173,9353.50179,,,2.84E-08,,,,28388.5,2.83885,34,11.0326,,0.001579
174,9353.50833,,,3.26E-08,,,,32553.5,3.25535,34,11.0326,,0.001535
175,9353.51455,,,3.74E-08,,,,37413.5,3.74135,34,11.0326,,0.001573
176,9353.52073,,,4.22E-08,,,,42202.3,4.22023,34,11.0326,,0.001549
177,9353.5271,,,4.61E-08,,,,46146.9,4.61469,34,11.0326,,0.001575
178,9353.5337,,,4.85E-08,,,,48493.2,4.84932,34,11.0326,,0.001507
179,9353.53999,,,4.91E-08,,,,49123.7,4.91237,34,11.0326,,0.00141
180,9353.54652,,,4.86E-08,,,,48608.3,4.86083,34,11.0326,,0.001507
